corpus,date,time
Sooo are you saying that life is not already multi planetary Really,2020-08-03,23:27:45
beedoo beedo beedoo youtube com watch v 59K40A,2020-08-03,23:27:48
Maybe an interesting Elon Musk background humansarefree com 2020 05 illumi twitter com EpochOpinion s,2020-08-03,23:27:52
new ship,2020-08-03,23:27:54
KR As far as we know it s in the Stargate building at the build site about 2 miles away,2020-08-03,23:27:55
What s your day job and how can we prise you away from it,2020-08-03,23:28:01
May be he is not that smart Or turning into Nikola Tesla or Howard Hughes,2020-08-03,23:28:02
Good luck Watching with,2020-08-03,23:28:02
Did you bring along Bob and Doug,2020-08-03,23:28:03
Good look amp I can t wait and thank you for making space exciting to me again,2020-08-03,23:28:03
Best wishes from Australia,2020-08-03,23:28:06
Is he high,2020-08-03,23:28:06
Godspeed,2020-08-03,23:28:08
Getting chills already giving my son a bath he has 25 min to finish get in his pj s read me a book ah I guess I am reading him the book then we watch Starship Hop and light out after that for him,2020-08-03,23:28:09
In Musk we trust,2020-08-03,23:28:10
So you ve missed the eyes didn t you,2020-08-03,23:28:11
The future is hopeful,2020-08-03,23:28:12
LET S DO THIS,2020-08-03,23:28:12
Let s do this,2020-08-03,23:28:12
It might become a meme,2020-08-03,23:28:13
Egypt invites Elon Musk to visit after Tesla and SpaceX CEO tweets aliens built the pyramids obv usatoday com story tech 202 via,2020-08-03,23:28:15
Can we expect a live broadcast from,2020-08-03,23:28:15
Let s Prove that grain silos can fly,2020-08-03,23:28:23
Do you plan to run an official livestream on channel as you did with Starhopper 150m hop,2020-08-03,23:28:24
Let s light this candle,2020-08-03,23:28:25
Synaps Will McDonald s be out there first to serve customers,2020-08-03,23:28:27
vids Ah poor sad vids attacking someone based on your ignorance is so petty Mr Elon Musk has catapulted the Tesla car company to be one of the most profitable company ever and is sending people to space checked your brain at the door lol,2020-08-03,23:28:27
Yeah when the world is run and owned by satanic criminals that traffic humans and eat live babies for their adrenocrome why shouldn t we leave earth Makes sense to leave,2020-08-03,23:28:27
Good luck Elon,2020-08-03,23:28:31
Pointy end up flamy end down Check,2020-08-03,23:28:31
Wish I was a fly on the wall in Boca Chica s control room Super excited to watch SN5 make history roadsiderocketscience,2020-08-03,23:28:33
I cried with her,2020-08-03,23:28:35
Can you send a photo of the control room,2020-08-03,23:28:38
Lets also make a shirt we coup who we want Or plunder to lightspeed or to lithium and beyond,2020-08-03,23:28:39
Sharp is disgusting low class and bad for workers,2020-08-03,23:28:39
irl it still looks a lot more comfortable than the soyuz with just three people in it,2020-08-03,23:28:39
Will You can probably assume they won t it s very uncommon for SpaceX to livestream testing sadly but I think they did stream the 150m hop with Starhopper if I don t remember wrong,2020-08-03,23:28:40
I live in Brownsville can you come get me so I can see the StarShip SN 5 hop,2020-08-03,23:28:42
Were can we see it,2020-08-03,23:28:44
We re watching,2020-08-03,23:28:45
I need help What would happen if Pinocchio said my nose will grow,2020-08-03,23:28:50
AWESOME ELON We are all watching from our homes around the world on whatever biggest screen we can find for this GOOD LUCK TO EVERYONE,2020-08-03,23:28:51
What an exciting weekend Haven t done anything but be engaged with what you are doing Wow Elon what a trip,2020-08-03,23:28:53
Seems that he was right,2020-08-03,23:28:57
Video link please,2020-08-03,23:28:57
I was expecting the eye,2020-08-03,23:28:59
Good luck even failure will be valuable learning experience,2020-08-03,23:29:07
Go SpaceX,2020-08-03,23:29:08
Roshi10 At this point in time trip to Mars is a one way ticket without coming back so don t worry about rich elites living this paradise for deserts of Mars,2020-08-03,23:29:09
Mk She probably should have cleaned them first,2020-08-03,23:29:10
Twitter isn t twittering How am I supposed to follow the sn5 150m hop tweets from Panic Need to be content with youtube com watch v 8ux t7 I guess,2020-08-03,23:29:15
Wooo Hooo,2020-08-03,23:29:16
What is going to look weirder due to the offset raptor engine the flight itself or the landing,2020-08-03,23:29:16
Gardi That doesn t look like it s ready to hop,2020-08-03,23:29:19
That a first Watching you tweet on live stream and then receiving it real time Good luck speacex from oz,2020-08-03,23:29:20
Can t wait More history making,2020-08-03,23:29:21
Sweet Good luck dude,2020-08-03,23:29:22
Okay thats neat But when is new music coming out,2020-08-03,23:29:27
I guys BEST wishes can we have an official SpaceX streaming,2020-08-03,23:29:32
Any link to it,2020-08-03,23:29:34
By we do you mean SpaceX and its shareholders You are not speaking for the nation as a private profiteering company are you ElonMusk SpaceX,2020-08-03,23:29:35
GOOD LUCK watching SN5 live stream,2020-08-03,23:29:37
Hi from Norway Elon We re all cheering for you and the team,2020-08-03,23:29:39
Never visited the pyramids but the Athens Parthenon and it is not our scale at all not like common greco roman remains it feels like those we know were copied on the older and bigger It could be from other civilizations not necessarily from out of earth,2020-08-03,23:29:40
24 minutes from now,2020-08-03,23:29:41
Thanks for the source,2020-08-03,23:29:42
woot woot what a week,2020-08-03,23:29:43
Cool to see people from all over the world are watching it s 1 30am over here haha sleepy time hihi,2020-08-03,23:29:45
Watching from the uk,2020-08-03,23:29:45
And we are watching from around the world Have you got a view of it,2020-08-03,23:29:48
waiting for,2020-08-03,23:29:49
Kasten Sliding doors are a musk have,2020-08-03,23:29:49
Will be a spacex stream,2020-08-03,23:29:49
Say hi to XRP for me I heard it loaded on of your rockets,2020-08-03,23:29:50
grabs bag of popcorn,2020-08-03,23:29:57
Elon Musk thinks the pyramids were obviously built by aliens and got schooled by Egyptians on Twitter news18 com news buzz elon,2020-08-03,23:30:00
feed can you please work on biomedical joint replacements No innovation in decades for knees,2020-08-03,23:30:00
Elon Musk just kinda pisses me off there s some things that SpaceX does that I would love to cheer on but then I remember the starlink bullshit and all the other SpaceX related and non SpaceX related ways Musk makes me mad,2020-08-03,23:30:02
Without Elon Tesla wouldn t even exist so it s fair And it s helping him to build the Mars colony which is essential for humanity The value created because of Elon for all Tesla shareholders is incredible,2020-08-03,23:30:07
Gardi Only gonna do a 150m hop with a single Raptor,2020-08-03,23:30:08
Elon Musk defends Tesla s misleading Autopilot mode Futurism futurism com the byte elon,2020-08-03,23:30:11
Nah you re thinking SpinLaunch this is SpaceX,2020-08-03,23:30:13
Elon would be cool if I can watch Starship fly from the outdoor restaurant one day The stainless steel roof looks awesome twitter com JaneidyEve sta,2020-08-03,23:30:18
It s crazy to see the tweets live multimedia multiplatforms,2020-08-03,23:30:21
livestream on spacex channel,2020-08-03,23:30:22
Fly me to the moon let me reach upon the stars let me see what s bringing life on jupiter and mars Go StarShip and go SpaceX,2020-08-03,23:30:23
KR About 3 3 5km my guess,2020-08-03,23:30:24
I WISH YOU ALL BEST OF LUCK YOU ROCK,2020-08-03,23:30:25
Hell yes,2020-08-03,23:30:30
Tell that to these guys,2020-08-03,23:30:30
Jupiter has rings too although they re so faint it took a spacecraft to find them NASA s Voyager 1 mission in 1980 stars milkyway esa planet earth saturn elonmusk nature planetearth physics space nasa astronomy astronaut cosmos hubble galaxy universe,2020-08-03,23:30:34
of You re deluded,2020-08-03,23:30:34
miklo i will cry,2020-08-03,23:30:35
Love it Passion for good,2020-08-03,23:30:36
orava 1 30am in The Netherlands,2020-08-03,23:30:39
YES BABY TO MARS AND BEYOND,2020-08-03,23:30:39
Station astro Would be cool if American astronauts could share rides on European vehicles too Luckily that capability is just around the corner as it should be for a major economic and scientific powerhouse such as Europe WishfulThinking,2020-08-03,23:30:50
All the best,2020-08-03,23:30:50
Will there be a SpaceX feed,2020-08-03,23:30:50
Ooh Exciting fingerscrossed no Rapid Unscheduled Disassembly,2020-08-03,23:30:50
Sweet Good luck dude,2020-08-03,23:30:50
I like to think that likes to listen to the Little Einsteins theme song while he is in a spaceship,2020-08-03,23:30:51
Thank you for the T estimate Much appreciated sir Will have a live stream or should we stick with the stream from,2020-08-03,23:30:52
Good luck,2020-08-03,23:31:01
Operation corn solo is a go Engage yeet mode,2020-08-03,23:31:08
Dont know if you ve seen this but it s pretty funny It s one of the most famous russian songs about space exploration and astronauts youtu be LDaGyo7xi98,2020-08-03,23:31:08
I feel the buzz ZZZ yes,2020-08-03,23:31:10
Will there be an official SpaceX livestream,2020-08-03,23:31:14
700k requests for starlink I m 1 of them I am eagerly awaiting more launches to see my dream of decent internet become a reality Thank you Elon for the opportunity to even be able to get good internet,2020-08-03,23:31:15
One can t even begin to comprehend the amount of work that goes into making space flight possible Its definitely a very emotional experience one that we should cherish forever Cracks me up everytime I see a launch Godspeed SpaceX,2020-08-03,23:31:19
